,Unnamed: 0,Unnamed: 0.1,Danceability,Mode,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration (ms),ID_CHECK,Song name,Artist,Album,ID,Class
450,21,21,0.483,0,0.65,7,-6.752,0.0349,0.573,2.97E-05,0.228,0.637,94.988,276400,1zAkNzJZVPrWDCnowb1vpZ,Oh Penne,Anirudh Ravichander,Vanakkam Chennai (Original Motion Picture Soundtrack),1zAkNzJZVPrWDCnowb1vpZ,2
329,195,64,0.721,1,0.496,4,-8.063,0.0508,0.845,0,0.11,0.217,131.969,235392,23bpCCVsTUKviTEfoy4tbM,Idhayathai Yedho Ondru,Harris Jayaraj,Yennai Arindhaal (Original Motion Picture Soundtrack),23bpCCVsTUKviTEfoy4tbM,0
642,146,22,0.536,0,0.591,0,-5.377,0.0292,0.463,0,0.133,0.347,128.056,185216,0jCZ3xX2xZTWMUnQMk1Vig,Indru Netru Naalai,Hiphop Tamizha,Indru Netru Naalai (Original Motion Picture Soundtrack),0jCZ3xX2xZTWMUnQMk1Vig,0
301,192,61,0.627,0,0.779,4,-4.944,0.0392,0.214,9.34E-06,0.112,0.619,149.929,240169,6kekHWEQ4SyMe5EjYAlveP,High On Love,Yuvan Shankar Raja,"High On Love (From ""Pyaar Prema Kaadhal"" Original Motion Picture Soundtrack)",6kekHWEQ4SyMe5EjYAlveP,0
764,88,17,0.425,0,0.438,11,-7.079,0.0364,0.518,0.00598,0.341,0.755,182.792,236160,3Vqi6s23XHGD5eLd7dpCzD,Rosappu Chinna Rosappu - Female Vocals,S.A. Rajkumar,Suryavamsam (Original Motion Picture Soundtrack),3Vqi6s23XHGD5eLd7dpCzD,2
328,247,28,0.908,1,0.73,1,-8.802,0.225,0.0441,6.55E-05,0.667,0.455,119.993,260000,5M0osd70WeG2LaAqvbe89r,"Inna Mylu - From ""Lift""",Britto Michael,"Inna Mylu (From ""Lift"")",5M0osd70WeG2LaAqvbe89r,1
485,200,69,0.581,0,0.534,4,-7.395,0.0705,0.467,0.00015,0.109,0.653,169.748,183758,0fHPR4JZNbqs7OsFdYaLja,Paarthen (The Youth Of Power Paandi),Various Artists,Power Paandi (Original Motion Picture Soundtrack),0fHPR4JZNbqs7OsFdYaLja,0
40,35,35,0.806,0,0.93,4,-3.404,0.132,0.253,1.94E-05,0.106,0.666,100.016,209500,4PML5RtrVcYAwTTS46otXB,Vaathi Raid,Anirudh Ravichander,Master (Original Motion Picture Soundtrack),4PML5RtrVcYAwTTS46otXB,3
70,123,64,0.678,1,0.595,2,-12.071,0.0511,0.139,0.00014,0.115,0.765,167.951,317773,54rRxIMzNtVmDzg9e1OKgp,Avaravar Vazhkaiyil,Bharathwaj,Pandavar Bhoomi,54rRxIMzNtVmDzg9e1OKgp,2
700,153,29,0.511,1,0.312,0,-10.012,0.0277,0.69,0,0.0985,0.29,96.904,129593,1oXvv9qbvwoQI8TQoDLyDO,Yendhan Kan Munne,Harris Jayaraj,Nanban (Original Motion Picture Soundtrack),1oXvv9qbvwoQI8TQoDLyDO,0
152,43,43,0.504,0,0.353,11,-14.744,0.0452,0.0317,0.000129,0.101,0.29,89.761,298800,5oxWMyPoNhQvDBofsFJLmX,"Mottukkale (From ""Rojakkottam"")",Hariharan,Hits of Hariharan,5oxWMyPoNhQvDBofsFJLmX,1
742,109,38,0.711,1,0.428,7,-9.896,0.0322,0.845,0.0004,0.116,0.896,90.872,291685,60OCme7Vga3GMoBnRbUOxn,Nadhiyodum Karaiyoram,Various Artists,Aavaram Poo,60OCme7Vga3GMoBnRbUOxn,2
641,101,30,0.834,1,0.73,9,-7.425,0.0434,0.046,0.0134,0.0995,0.236,105.989,406700,6h46G8mMwc3QDymuVKcPhR,Santhosha Kanneere,A.R. Rahman,Uyire (Original Motion Picture Soundtrack),6h46G8mMwc3QDymuVKcPhR,2
184,46,46,0.667,1,0.473,1,-13.317,0.0698,0.438,3.88E-06,0.0909,0.52,99.867,320573,42lDp1YYCiy50UtXUO9FNp,Kandukondain Kandukondain,A.R. Rahman,Kandukondain Kandukondain (Original Motion Picture Soundtrack),42lDp1YYCiy50UtXUO9FNp,1
544,92,92,0.682,0,0.305,3,-10.925,0.0415,0.715,0.00363,0.0907,0.404,135.861,275043,3unti8bdiV2N4wzFTtR4EF,Maya Nadhi,Santhosh Narayanan,Kabali (Original Motion Picture Soundtrack),3unti8bdiV2N4wzFTtR4EF,0
618,81,10,0.676,0,0.894,7,-4.676,0.148,0.399,1.15E-05,0.0593,0.646,171.819,272667,00GYdEqP5dZ4IZBsALTdRE,"Parthu Parthu - Language: Tamil; Film: Nee Varuvaai Ena…; Film Artist 1: Parthipan, Ajith; Film Artist 2: Devaiyani",S.A. Rajkumar,Thullatha Manamum Thullum & Nee Varuvai Ena,00GYdEqP5dZ4IZBsALTdRE,2
525,5,5,0.731,1,0.901,8,-5.881,0.0308,0.231,0.0254,0.0577,0.944,133.039,251973,1QuZBM0iHDlr1oRVyeZypC,Anbil Avan,A.R. Rahman,Vinnathaandi Varuvaayaa (Original Motion Picture Soundtrack),1QuZBM0iHDlr1oRVyeZypC,1
688,18,18,0.661,0,0.641,10,-7.039,0.0331,0.274,1.61E-05,0.0673,0.538,119.996,284373,6veA8KjkbFRJp1NyG1hyxT,"Enadhuyire (From ""Bheema"")",A.R. Rahman,Hits of A.R.Rahman and Harris Jayaraj,6veA8KjkbFRJp1NyG1hyxT,2
773,114,43,0.258,1,0.473,2,-9.683,0.0399,0.243,1.65E-06,0.327,0.134,122.722,162651,4lCUXuB3197yLbeitMRVMq,Malarodu Malaringu,Various Artists,Bombay,4lCUXuB3197yLbeitMRVMq,0
39,10,10,0.677,1,0.987,2,-3.579,0.0502,0.171,0,0.105,0.515,89.98,231309,6ffEHNJBFnr68xNVoRwPf2,"Mavane (From ""Pattas"")",Arivu,"Mavane (From ""Pattas"")",6ffEHNJBFnr68xNVoRwPf2,3
624,174,50,0.581,1,0.431,2,-10.364,0.0353,0.699,4.65E-05,0.134,0.446,88.809,366507,1dmTEETgoWQVeNZb1g8dZc,Yamma Yamma,Harris Jayaraj,7 Aum Arivu (Original Motion Picture Soundtrack),1dmTEETgoWQVeNZb1g8dZc,2
67,78,19,0.53,1,0.884,2,-7.969,0.169,0.0851,0,0.0255,0.717,110.753,270686,0HSmwRxfOF0MMLiaQBt1FI,Layyavathiye,Jassie Gift,4 Students (Original Motion Picture Soundtrack),0HSmwRxfOF0MMLiaQBt1FI,1
461,114,114,0.66,0,0.5,2,-8.228,0.0441,0.701,0.000832,0.186,0.413,129.96,255680,4pFs70p0MWLJykFBNFSEXD,Manamengum Maaya Oonjal,Santhosh Narayanan,Gypsy,4pFs70p0MWLJykFBNFSEXD,1
265,62,3,0.732,0,0.654,8,-7.583,0.0396,0.464,5.49E-05,0.123,0.724,122.049,322862,0Ne4nzvVi5FQXwiYCkjUqX,"Mayilrage (From ""Ah…Aah"")",A.R. Rahman,Youth Beats - Hits of A.R.Rahman and Yuvan Shankar Raja,0Ne4nzvVi5FQXwiYCkjUqX,1
604,26,26,0.655,1,0.518,4,-8.084,0.0349,0.724,2.80E-06,0.145,0.122,80.152,330400,2WiYbMi6kTLAWSCUbzf5zm,Pogadhe,Yuvan Shankar Raja,Deepavali (Original Motion Picture Soundtrack),2WiYbMi6kTLAWSCUbzf5zm,2
104,209,72,0.675,0,0.76,2,-6.479,0.342,0.167,0,0.194,0.816,87.267,303996,7zgUcaUKZJifUZdiGizuth,Kuchi Kuchi Rakkamma,Various Artists,Bombay,7zgUcaUKZJifUZdiGizuth,1
15,14,14,0.715,0,0.655,11,-5.091,0.0911,0.8,2.58E-06,0.571,0.568,80.012,212498,3F7IiHst8X2KXwu4oBkywY,Theemai Dhaan Vellum - Awakening the Monster,Hiphop Tamizha,Thani Oruvan (Original Motion Picture Soundtrack),3F7IiHst8X2KXwu4oBkywY,3
667,205,20,0.72,1,0.533,6,-6.43,0.0407,0.301,2.39E-05,0.0773,0.75,80,382067,3eVkn2lYFVq8vZNDR0gf1Z,Oru Naalil,Yuvan Shankar Raja,Pudhupettai,3eVkn2lYFVq8vZNDR0gf1Z,0
563,129,5,0.45,0,0.647,7,-9.067,0.0835,0.26,5.80E-05,0.402,0.122,139.933,256500,491DwnBb3MA8RzyA2E0Skt,"Nenjame (From ""Doctor"")",Anirudh Ravichander,"Nenjame (From ""Doctor"")",491DwnBb3MA8RzyA2E0Skt,0
637,186,1,0.784,1,0.412,2,-9.2,0.0451,0.135,0,0.101,0.421,109.998,254000,7sjmWyrZfFschJT51r7oLv,Othayilae,Harris Jayaraj,Endrendrum Punnagai (Original Motion Picture Soundtrack),7sjmWyrZfFschJT51r7oLv,2
382,61,61,0.461,0,0.322,11,-11.706,0.0333,0.933,0.0382,0.0691,0.31,81.608,261004,5FaFha5QbFcF5uqEeOAh71,Manasula Soora Kaathey,Santhosh Narayanan,Cuckoo (Original Motion Picture Soundtrack),5FaFha5QbFcF5uqEeOAh71,0
183,169,32,0.771,1,0.911,7,-2.358,0.123,0.211,0.00511,0.085,0.888,135.994,243330,2GZQrw796Mp0pDrNDPbHPA,Ram Bum Bum,A.R. Rahman,Jodi (Original Motion Picture Soundtrack),2GZQrw796Mp0pDrNDPbHPA,0
333,177,46,0.498,0,0.679,4,-7.252,0.214,0.256,0.000325,0.0589,0.743,99.702,236500,0fGclndst25Qqy8j4u5De5,"Chellamma (From ""Doctor"")",Anirudh Ravichander,"Chellamma (From ""Doctor"")",0fGclndst25Qqy8j4u5De5,1
745,182,58,0.238,1,0.372,3,-12.117,0.0316,0.545,0.068,0.084,0.0703,70.674,182368,4zfZi4L6lsf152iSWZo40Q,Madura Marikozhundhae,A.R. Rahman,Chekka Chivantha Vaanam (Original Motion Picture Soundtrack),4zfZi4L6lsf152iSWZo40Q,0
514,20,20,0.658,0,0.386,11,-9.91,0.0315,0.746,0.00269,0.348,0.295,100.012,367747,0f6cGe7JVOKXfTUZCvj43L,Saayndhu Saayndhu,Ilaiyaraaja,Neethaane En Ponvasantham (Original Motion Picture Soundtrack),0f6cGe7JVOKXfTUZCvj43L,0
351,7,7,0.753,1,0.449,7,-7.631,0.0288,0.347,0,0.219,0.557,134.891,352427,3JXi13LlcYzagKRNokd3Zt,Aathadi Aathadi,Harris Jayaraj,Anegan (Original Motion Picture Soundtrack),3JXi13LlcYzagKRNokd3Zt,1
173,189,52,0.533,1,0.321,7,-15.063,0.0529,0.655,0,0.117,0.451,86.03,387747,0TzbduxzsPOf3Ar7lErQF6,Narumugaiyeh Narumugaiyeh,A.R. Rahman,Iruvar,0TzbduxzsPOf3Ar7lErQF6,1
316,71,71,0.455,1,0.842,6,-4.734,0.0542,0.139,7.89E-06,0.056,0.56,96.122,203125,7e0EIyN76x3wFYJdBJmALX,Hold Me Now,Yuvan Shankar Raja,Pyaar Prema Kaadhal (Original Motion Picture Soundtrack),7e0EIyN76x3wFYJdBJmALX,1
607,9,9,0.504,0,0.364,1,-9.277,0.03,0.893,7.68E-05,0.0904,0.365,149.819,208440,2MFopQXldr1aXxvZA09jmD,Imaye Imaye,G. V. Prakash,Raja Rani (Original Motion Picture Soundtrack),2MFopQXldr1aXxvZA09jmD,2
132,114,55,0.751,0,0.441,4,-12.219,0.0778,0.409,3.83E-05,0.121,0.668,90.98,291370,22ySJDdziFTHY4wwKQ7ZPG,"Roja Poonthottam (From ""Kannukul Nilavu"")",A.R. Rahman,Legend's of Music - Hits of A.R.Rahman and Ilayaraja,22ySJDdziFTHY4wwKQ7ZPG,1
585,113,42,0.373,1,0.148,2,-19.735,0.0321,0.891,2.48E-06,0.111,0.193,141.74,246853,4VOo7QNw4Flge3o0moKwRB,Ithuthan Vaazhkai Embada,A.R. Rahman,Pudhiya Mugam (Original Motion Picture Soundtrack),4VOo7QNw4Flge3o0moKwRB,0
306,15,15,0.67,0,0.517,5,-6.963,0.039,0.481,2.49E-05,0.217,0.615,77.514,284480,6dZCuf6SGn2rh9q94JBLlv,Idhu Varai,Yuvan Shankar Raja,Goa (Original Motion Picture Soundtrack),6dZCuf6SGn2rh9q94JBLlv,2
510,236,17,0.573,1,0.6,0,-7.751,0.3,0.586,7.65E-06,0.15,0.706,149.982,172750,1rvJahl2EPy25dSsBNzTr4,Adipoli,Siddhu Kumar,Adipoli,1rvJahl2EPy25dSsBNzTr4,1
358,62,62,0.759,1,0.697,4,-8.218,0.094,0.615,0.00154,0.327,0.667,97.031,271000,1xMjm5Qar9oGMgoSZxRb6h,Oday Oday,G. V. Prakash Kumar,Raja Rani (Original Motion Picture Soundtrack),1xMjm5Qar9oGMgoSZxRb6h,1
60,216,79,0.424,1,0.141,6,-20.102,0.0345,0.755,0,0.127,0.399,130.929,275467,7LG0J6KNnrqvmrCKgZ6nIt,Rasathi,A.R. Rahman,Thiruda Thiruda (Original Motion Picture Soundtrack),7LG0J6KNnrqvmrCKgZ6nIt,1
597,154,30,0.484,0,0.256,9,-9.169,0.0442,0.638,0,0.186,0.451,143.809,184114,47UfJPjEvyVJz6nd8LXUng,Pallikoodam - The Farewell Song,Hiphop Tamizha,Natpe Thunai,47UfJPjEvyVJz6nd8LXUng,0
454,48,48,0.445,0,0.722,9,-6.098,0.0644,0.239,8.67E-06,0.0678,0.445,79.321,277061,4DjZ04u7d7rHqDs5pFcJSb,Aandipatti,Yuvan Shankar Raja,Dharmadurai (Original Motion Picture Soundtrack),4DjZ04u7d7rHqDs5pFcJSb,0
363,3,3,0.419,1,0.825,6,-5.013,0.0709,0.49,0,0.139,0.363,73.202,303750,3gnWw0LToxswxfC6Eb8GBp,Kadhal Aasai,Yuvan Shankar Raja,Anjaan (Original Motion Picture Soundtrack),3gnWw0LToxswxfC6Eb8GBp,1
470,219,0,0.608,1,0.757,2,-6.945,0.164,0.259,0.00216,0.259,0.625,124.078,279677,6yvxu91deFKt3X1QoV6qMv,"Arabic Kuthu - Halamithi Habibo (From ""Beast"")",Anirudh Ravichander,"Arabic Kuthu - Halamithi Habibo (From ""Beast"")",6yvxu91deFKt3X1QoV6qMv,1
105,44,44,0.751,0,0.736,9,-7.392,0.0334,0.041,1.07E-05,0.0382,0.769,131.977,322133,2ev8Lw6AV8ta2ghwJdAbCC,Manasukkulle Dhagam,Bharathwaj,Autograph (Original Motion Picture Soundtrack),2ev8Lw6AV8ta2ghwJdAbCC,1
519,235,16,0.73,1,0.771,1,-8.041,0.221,0.023,0.000128,0.142,0.628,135.972,235448,0CI3up9Rf5tZq5MxfJG2oB,"Polladha Ulagam (From ""Maaran"")",Dhanush,"Polladha Ulagam (From ""Maaran"")",0CI3up9Rf5tZq5MxfJG2oB,1
79,170,33,0.711,1,0.418,2,-11.815,0.0347,0.438,2.55E-05,0.132,0.761,104.006,429020,3OErux8QBSsBcmD9eT8oWP,Thirakkaatha,Various Artists,En Swasa Kaatre,3OErux8QBSsBcmD9eT8oWP,0
661,87,16,0.734,0,0.56,4,-11.758,0.0365,0.289,0.00102,0.0779,0.619,120.013,311615,0vuLdpY7tcUQcar7W7abYc,O Vennila,Various Artists,Kushi,0vuLdpY7tcUQcar7W7abYc,2
281,29,29,0.698,1,0.587,5,-6.567,0.035,0.555,9.51E-05,0.45,0.586,90.014,325564,0ImgV4I9kpPs06apHkwr9P,Enakenna Yerkanavey,Bharadwaj,Parthen Rasithen (Original Motion Picture Soundtrack),0ImgV4I9kpPs06apHkwr9P,1
663,32,32,0.331,0,0.235,4,-13.816,0.0411,0.891,2.98E-06,0.107,0.252,82.511,275504,5KW8kOHmXqkDEdj6JyP3dJ,"Unna Nenachu (From ""Psycho (Tamil)"")",Ilaiyaraaja,"Unna Nenachu [From ""Psycho (Tamil)""]",5KW8kOHmXqkDEdj6JyP3dJ,2
486,22,22,0.448,0,0.607,9,-4.606,0.0611,0.791,0,0.0888,0.484,139.509,344360,6mmGbsCqf5e8vxv1WodYIG,Yathe Yathe,G. V. Prakash,Aadukalam (Original Motion Picture Soundtrack),6mmGbsCqf5e8vxv1WodYIG,1
187,99,40,0.812,0,0.623,2,-9.586,0.115,0.366,0,0.0652,0.581,95.038,358853,5R8xtyAKDas6hRCXxR9ho6,Un Paarvaiyil,Devi Sri Prasad,Something Something Unakkum Enakkum (Original Motion Picture Soundtrack),5R8xtyAKDas6hRCXxR9ho6,1
272,218,81,0.731,1,0.462,11,-12.383,0.303,0.0743,0,0.383,0.849,130.841,290526,2iurBc4VsogGickGwVU08W,Madrasa Suthi Paakka,Various Artists,May Madham,2iurBc4VsogGickGwVU08W,1
459,77,77,0.638,1,0.812,11,-2.78,0.0391,0.279,0,0.131,0.684,119.925,230392,6KWsuiBTwYuAteJE7KroeS,Vaadi Vaadi,Ghibran,Chennai 2 Singapore (Original Motion Picture Soundtrack),6KWsuiBTwYuAteJE7KroeS,1
148,138,1,0.795,1,0.842,0,-5.208,0.166,0.0534,0.0044,0.0402,0.776,95.027,312840,1Uuw9nSChAnmwbFmnuCx5S,Andha Arabi Kadaloram,Various Artists,Bombay,1Uuw9nSChAnmwbFmnuCx5S,1
2,39,39,0.621,1,0.964,9,-7.654,0.0724,0.392,0.794,0.354,0.511,99.961,130972,58rVdRJUkvtupU7J3UIrvB,Interval Fight - Background Score,Anirudh Ravichander,Master (Original Background Score),58rVdRJUkvtupU7J3UIrvB,3
547,158,27,0.288,0,0.462,2,-8.91,0.0335,0.767,0.00704,0.112,0.217,159.53,260125,4Lm0D6ituSgOi1AXLhUqcx,"Rendu Kaadhal (From ""Kaathuvaakula Rendu Kaadhal"")",Anirudh Ravichander,"Rendu Kaadhal (From ""Kaathuvaakula Rendu Kaadhal"")",4Lm0D6ituSgOi1AXLhUqcx,2
63,220,83,0.868,1,0.204,7,-24.262,0.228,0.000503,8.76E-05,0.0497,0.475,104.078,30000,51hv6doMfIm6byNxd0NGsD,No Problem,A.R. Rahman,Love Birds,51hv6doMfIm6byNxd0NGsD,1
627,191,6,0.702,0,0.44,4,-10.756,0.0913,0.677,1.20E-06,0.0855,0.448,147.073,335787,1lqdPJz24AiFWeo3arwPXR,Yaaro Yaaro,Harris Jayaraj,Maattrraan (Original Motion Picture Soundtrack),1lqdPJz24AiFWeo3arwPXR,0
172,63,4,0.694,1,0.479,0,-8.918,0.0307,0.36,0,0.195,0.735,143.974,369774,01yHYYvFwxQorNJTBwbvPn,Elangathu,Ilaiyaraaja,Pithamagan (Original Motion Picture Soundtrack),01yHYYvFwxQorNJTBwbvPn,1
137,10,10,0.456,0,0.604,7,-9.375,0.126,0.27,0,0.0641,0.597,169.963,379680,7q3FUB3S5LllFjI1Wymdxb,Moongil Kaadugale,Harris Jayaraj,Samurai (Original Motion Picture Soundtrack),7q3FUB3S5LllFjI1Wymdxb,0
520,213,82,0.901,1,0.845,1,-3.465,0.139,0.0562,0,0.278,0.943,117.97,267203,6rJhjykEkCqm3H64uALhhf,"Bujji (From ""Jagame Thandhiram"")",Santhosh Narayanan,"Bujji (From ""Jagame Thandhiram"")",6rJhjykEkCqm3H64uALhhf,1
401,147,16,0.684,1,0.593,5,-6.267,0.0321,0.375,1.21E-05,0.0998,0.372,89.994,298666,6PDkbkVKBCMIwm1wlDhT3s,"Yaaraiyum Ivlo Azhaga - From ""Sulthan""",Vivek - Mervin,"Yaaraiyum Ivlo Azhaga (From ""Sulthan"")",6PDkbkVKBCMIwm1wlDhT3s,0
596,118,47,0.365,0,0.0643,2,-19.186,0.0384,0.952,0.28,0.0957,0.0686,83.188,30000,2293o0IyVtgQ0FDsevgUnA,Naalai Ulagam,A.R. Rahman,Love Birds,2293o0IyVtgQ0FDsevgUnA,2
65,64,5,0.683,1,0.515,7,-11.644,0.0751,0.638,1.33E-06,0.174,0.756,141.034,291600,33tgI2qjeokRijrj6N2KjB,Minnalai Pidithu,Mani Sharma,Shajahaan (Original Motion Picture Soundtrack),33tgI2qjeokRijrj6N2KjB,1
500,245,26,0.722,0,0.86,0,-3.713,0.205,0.537,0,0.114,0.814,80.004,246000,7crGzxRqI5pMZAjZgF9uu2,"Jai Sulthan - From ""Sulthan""",Vivek - Mervin,"Jai Sulthan (From ""Sulthan"")",7crGzxRqI5pMZAjZgF9uu2,1
373,19,19,0.389,1,0.485,3,-8.961,0.0348,0.7,3.28E-05,0.122,0.249,175.991,416320,7mMkw0JFKnyMS6oGRT6b3O,Mannipaaya,A.R. Rahman,Vinnathaandi Varuvaayaa (Original Motion Picture Soundtrack),7mMkw0JFKnyMS6oGRT6b3O,2
112,30,30,0.789,1,0.878,0,-5.061,0.0371,0.0341,4.88E-05,0.181,0.844,108.038,257568,4Mn9JsJeE6IXWdqI46ZKQS,Chennai Sentamizh,Various Artists,M. Kumaran S/O Mahalakshmi (Original Motion Picture Soundtrack),4Mn9JsJeE6IXWdqI46ZKQS,1
4,47,47,0.849,1,0.768,8,-4.085,0.234,0.279,1.29E-06,0.332,0.774,98,260507,5iv6lZAIguXWYW4Zaz5zvY,Porkkalam - Tamil Rap,G. V. Prakash,Aadukalam (Original Motion Picture Soundtrack),5iv6lZAIguXWYW4Zaz5zvY,3
258,194,57,0.618,0,0.481,5,-12.006,0.101,0.19,0,0.144,0.436,91.013,379977,1BsUz93KmwBdR7GI2tWJCe,Maargazhi Poovea,Various Artists,May Madham,1BsUz93KmwBdR7GI2tWJCe,0
44,52,52,0.847,0,0.932,10,-6.415,0.211,0.198,0.00297,0.801,0.628,149.106,196440,0VbauiTdK2lQTVowtiAdKR,The Boss,A.R. Rahman,Sivaji The Boss (Original Motion Picture Soundtrack),0VbauiTdK2lQTVowtiAdKR,3
703,166,42,0.629,0,0.223,5,-7.079,0.0294,0.924,1.91E-06,0.113,0.123,106.954,191423,3ntyAlz0WagkK3gdag2dFg,Usuru Narambulay,Santhosh Narayanan,Irudhi Suttru,3ntyAlz0WagkK3gdag2dFg,2
287,120,120,0.793,1,0.862,7,-4.84,0.0447,0.247,0.0151,0.0832,0.962,130.024,232840,68kb4S1XJcLO9jn6sDwSU1,Kannukkul Kannai,A.R. Rahman,Vinnathaandi Varuvaayaa (Original Motion Picture Soundtrack),68kb4S1XJcLO9jn6sDwSU1,1
74,88,29,0.879,0,0.434,7,-10.778,0.0385,0.113,2.46E-05,0.105,0.794,110.018,310613,1hEjxkQ0vcWmrYtGlQr2IC,"Devathaiya Kandein (From ""Kadhal Kondaen"")",A.R. Rahman,Youth Beats - Hits of A.R.Rahman and Yuvan Shankar Raja,1hEjxkQ0vcWmrYtGlQr2IC,1
96,219,82,0.421,1,0.204,2,-16.632,0.045,0.275,0.000331,0.109,0.321,115.509,107432,2BZq8YIfkUSQdDilbxj3Ph,Aararo Ariraro,Various Artists,Karuthamma,2BZq8YIfkUSQdDilbxj3Ph,0
139,161,24,0.75,0,0.341,11,-13.368,0.0381,0.267,0,0.0951,0.602,121.999,340874,0lVVSxwaEmStgTECv4JSTM,Poongatrile,A.R. Rahman,Uyire (Original Motion Picture Soundtrack),0lVVSxwaEmStgTECv4JSTM,2
307,85,85,0.574,0,0.496,8,-7.153,0.0277,0.431,0,0.399,0.61,109.935,205947,2MwCoo4GeXpi8soWn9EiPo,Kannazhaga - The Kiss of Love,Anirudh Ravichander,3 (Original Motion Picture Soundtrack),2MwCoo4GeXpi8soWn9EiPo,0
598,161,37,0.296,1,0.298,0,-10.167,0.0295,0.777,6.60E-06,0.0909,0.243,178.292,291121,1t99uhmctVeG4FbC5giRCM,Idhayam Love (Megamo Aval),Pradeep Kumar,Meyaadha Maan (Original Motion Picture Soundtrack),1t99uhmctVeG4FbC5giRCM,2
758,102,31,0.471,0,0.553,3,-14.107,0.0979,0.183,0,0.284,0.408,90.848,441652,3hTvdWIVGJJxyYmOCYQhW8,Ennuyire,A.R. Rahman,Uyire (Original Motion Picture Soundtrack),3hTvdWIVGJJxyYmOCYQhW8,2
646,36,36,0.858,1,0.447,10,-7.917,0.0343,0.67,9.19E-05,0.0738,0.256,119.98,213520,3c1tJAYgROZEdqRfm7Wsny,Yedho Ondru Ennai,Yuvan Shankar Raja,Paiya (Original Motion Picture Soundtrack),3c1tJAYgROZEdqRfm7Wsny,2
356,248,29,0.895,0,0.467,5,-10.48,0.199,0.178,0,0.0802,0.742,132.955,239104,7AHKnQ6XB5l7GL4pTJWLZn,Kutty Pattas,Santhosh Dhayanidhi,Kutty Pattas,7AHKnQ6XB5l7GL4pTJWLZn,1
318,58,58,0.377,1,0.271,7,-13.725,0.029,0.869,1.44E-05,0.0887,0.172,79.743,298627,7rU7uLC3OCfxCe7Hhh6FXj,Naetru Aval Irundhal,A.R. Rahman,Maryan (Original Motion Picture Soundtrack),7rU7uLC3OCfxCe7Hhh6FXj,1
